Airline,Airport,Serves,Nickname
"Delta Air Lines","Jackson–Medgar Wiley Evers International Airport","Jackson, Mississippi",JAN
"Delta Air Lines","Jacksonville International Airport","Jacksonville metropolitan area",JAX
"Delta Air Lines","O. R. Tambo International Airport","Johannesburg",JNB
"Delta Air Lines","Kansas City International Airport","Kansas City metropolitan area",MCI
"Delta Air Lines","Key West International Airport","Key West, Florida",EYW
"Delta Air Lines","Norman Manley International Airport","Kingston",KIN
"Delta Air Lines","McGhee Tyson Airport","Knoxville, Tennessee",TYS
"Delta Air Lines","Lafayette Regional Airport","Lafayette, Louisiana",LFT
"Delta Air Lines","Murtala Muhammed International Airport","Ikeja",LOS
"Delta Air Lines","McCarran International Airport","Las Vegas Valley",LAS
"Delta Air Lines","Blue Grass Airport","Lexington",LEX
"Delta Air Lines","Daniel Oduber Quirós International Airport","Lexington",LIR
"Delta Air Lines","Jorge Chávez International Airport","Lima",LIM
"Delta Air Lines","Clinton National Airport","Little Rock",LIT
"Delta Air Lines","Heathrow Airport","London",LHR
"Delta Air Lines","Los Angeles International Airport","Greater Los Angeles Area",LAX
"Delta Air Lines","Louisville International Airport","Louisville, Kentucky",SDF
"Delta Air Lines","Dane County Regional Airport","Madison, Wisconsin",MSN
"Delta Air Lines","Adolfo Suárez Madrid–Barajas Airport","Madrid",MAD
"Delta Air Lines","Augusto C. Sandino International Airport","Managua",MGA
"Delta Air Lines","Manchester–Boston Regional Airport","Manchester, New Hampshire",MHT
"Delta Air Lines","Orlando Melbourne International Airport","Melbourne",MLB
"Delta Air Lines","Memphis International Airport","Memphis, Tennessee",MEM
"Delta Air Lines","Mexico City International Airport","Mexico City, Mexico",ME1
"Delta Air Lines","Miami International Airport","Greater Miami",MIA
"Delta Air Lines","General Mitchell International Airport","Milwaukee",MKE
"Delta Air Lines","Minneapolis–Saint Paul International Airport","Minneapolis",MSP
"Delta Air Lines","Mobile Regional Airport","Mobile, Alabama",MOB
"Delta Air Lines","Sangster International Airport","Montego Bay",MBJ
"Delta Air Lines","Monterrey International Airport","Monterrey, Nuevo Leon",MTY
"Delta Air Lines","Munich Airport","Munich",MUC
"Delta Air Lines","Nashville International Airport","Nashville, Tennessee",BNA
"Delta Air Lines","Lynden Pindling International Airport","Nassau",NAS
"Delta Air Lines","Newark Liberty International Airport","New Jersey",EWR
"Delta Air Lines","Louis Armstrong New Orleans International Airport","New Orleans",MSY
"Delta Air Lines","Newport News/Williamsburg International Airport","Virginia Peninsula",PHF
"Delta Air Lines","John F. Kennedy International Airport","New York metropolitan area",JFK
"Delta Air Lines","LaGuardia Airport","New York metropolitan area",LGA
"Delta Air Lines","Norfolk International Airport","Hampton Roads",ORF
"Delta Air Lines","Will Rogers World Airport","Oklahoma City",OKC
"Delta Air Lines","Eppley Airfield","Eastern Nebraska and Western Iowa",OMA
"Delta Air Lines","John Wayne Airport","Orange County, California",SNA
"Delta Air Lines","Orlando International Airport","Orlando, Florida",MCO
"Delta Air Lines","Northwest Florida Beaches International Airport","Panama City",ECP
"Delta Air Lines","Tocumen International Airport","Panama City",PTY
"Delta Air Lines","Charles de Gaulle Airport","Paris",CDG
"Delta Air Lines","Pensacola International Airport","Pensacola, Florida",PNS
"Delta Air Lines","Philadelphia International Airport","Delaware Valley",PHL
"Delta Air Lines","Phoenix Sky Harbor International Airport","Phoenix metropolitan area",PHX
"Delta Air Lines","Pittsburgh International Airport","Pittsburgh, Pennsylvania",PIT
"Delta Air Lines","Toussaint Louverture International Airport","Port-au-Prince",PAP
"Delta Air Lines","Portland International Jetport","Portland, Maine",PWM
"Delta Air Lines","Portland International Airport","Portland metropolitan area",PDX
"Delta Air Lines","T. F. Green Airport","Providence",PVD
"Delta Air Lines","Providenciales International Airport","Providence",PLS
"Delta Air Lines","Licenciado Gustavo Díaz Ordaz International Airport","Puerto Vallarta and Riviera Nayarit",PVR
"Delta Air Lines","Punta Cana International Airport","Punta Cana, Higuey",PUJ
"Delta Air Lines","Mariscal Sucre International Airport","Quito",UIO
"Delta Air Lines","Raleigh–Durham International Airport","Research Triangle Metropolitan Region",RDU
"Delta Air Lines","Richmond International Airport","Central Virginia",RIC
"Delta Air Lines","Rio de Janeiro–Galeão International Airport","Rio de Janeiro",GIG
"Delta Air Lines","Roanoke–Blacksburg Regional Airport","Roanoke Valley",ROA
"Delta Air Lines","Juan Manuel Gálvez International Airport","Roanoke Valley",RTB
"Delta Air Lines","Greater Rochester International Airport","Rochester, New York",ROC
"Delta Air Lines","Leonardo da Vinci–Fiumicino Airport","Rome",FCO
"Delta Air Lines","Sacramento International Airport","Sacramento, California",SMF
"Delta Air Lines","St. Louis Lambert International Airport","Greater St. Louis",STL
"Delta Air Lines","Hewanorra International Airport","Greater St. Louis",UVF
"Delta Air Lines","Princess Juliana International Airport","Greater St. Louis",SXM
"Delta Air Lines","Cyril E. King Airport","Greater St. Louis",STT
"Delta Air Lines","Salt Lake City International Airport","Utah",SLC
"Delta Air Lines","San Antonio International Airport","Greater San Antonio",SAT
"Delta Air Lines","San Diego International Airport","Greater San Diego",SAN
"Delta Air Lines","San Francisco International Airport","San Francisco Bay Area",SFO
"Delta Air Lines","San Jose International Airport","Santa Clara County",SJC
"Delta Air Lines","Juan Santamaría International Airport","San José, Costa Rica",SJO
"Delta Air Lines","Los Cabos International Airport","Los Cabos",SJD
"Delta Air Lines","Luis Muñoz Marín International Airport","San Juan, Puerto Rico",SJU
"Delta Air Lines","Ramón Villeda Morales International Airport","San Pedro Sula",SAP
"Delta Air Lines","Monseñor Óscar Arnulfo Romero International Airport","El Salvador",SAL
"Delta Air Lines","Comodoro Arturo Merino Benítez International Airport","Santiago",SCL
"Delta Air Lines","Cibao International Airport","Santiago de los Caballeros",STI
"Delta Air Lines","Las Américas International Airport","Santo Domingo",SDQ
"Delta Air Lines","São Paulo–Guarulhos International Airport","São Paulo",GRU
"Delta Air Lines","Sarasota–Bradenton International Airport","Sarasota",SRQ
"Delta Air Lines","Savannah/Hilton Head International Airport","Savannah, Georgia",SAV
"Delta Air Lines","Seattle–Tacoma International Airport","Seattle",SEA
